ALL SOURCE CLASS DEFINITIONS
================================================================================

Total: 632 classes/structs

class  C3DCamera                      | 3cameraf.h
struct FileResHdr                     | resourcehdr.h
struct FireBallData                   | missileeffect.h
struct IDirectSound                   | sound.h
struct IDirectSound3DBuffer           | sound.h
struct IDirectSound3DListener         | sound.h
struct IDirectSoundBuffer             | sound.h
struct Ident                          | parse.h
class  OFFSET                         | revtypes.h
class  OTOffsetArray                  | revtypes.h
struct S3DAnimObj                     | 3dimage.h
struct S3DFace                        | 3dimagebody.h
struct S3DImageryBody                 | 3dimagebody.h
struct S3DImageryIcons                | 3dimage.h
struct S3DImageryObject               | 3dimagebody.h
struct S3DImageryObjectState          | 3dimagebody.h
struct S3DImageryObjectTexture        | 3dimagebody.h
struct S3DImageryPlaySound            | 3dimagebody.h
struct S3DImageryState                | 3dimagebody.h
struct S3DImageryTag                  | 3dimagebody.h
struct S3DImageryTexture              | 3dimagebody.h
struct S3DMat                         | 3dimage.h
struct S3DMaterial                    | 3dimagebody.h
struct S3DMaterial                    | 3dimagebody.h
struct S3DObj                         | 3dimage.h
struct S3DOldImageryObjectState       | 3dimagebody.h
struct S3DOldImageryState             | 3dimagebody.h
struct S3DOldImageryState2            | 3dimagebody.h
struct S3DOldImageryState3            | 3dimagebody.h
struct S3DPoint                       | revtypes.h
struct S3DRect                        | revtypes.h
struct S3DStateImagery                | 3dimagebody.h
struct S3DTag                         | 3dimage.h
struct S3DTex                         | 3dimage.h
struct SAniKey                        | 3dimagebody.h
struct SAniKey32                      | 3dimagebody.h
class  SAnimImageryBody               | animimagebody.h
class  SAnimImageryBody               | animimagebody.h
struct SAnimImageryState              | animimagebody.h
struct SAnimationFrame                | animdata.h
struct SAutoMapData                   | automapdata.h
struct SAutoMapOverlay                | automapdata.h
struct SBgUpdateRect                  | mappane.h
struct SBitmapList                    | editor.h
struct SBlitVertex                    | blit.h
struct SBlitVertexParams              | blit.h
struct SBloodDrop                     | effect.h
struct SBloodParticle                 | effectcomp.h
struct SBloodSplat                    | effect.h
struct SBloodSystemParams             | effectcomp.h
struct SBodyPartPulp                  | effect.h
struct SCenterOnState                 | mappane.h
struct SChained                       | editor.h
struct SCharAttackData                | rules.h
struct SCharAttackImpact              | rules.h
struct SCharData                      | rules.h
