GHIDRA CLASS FINGERPRINTS
========================================

Total: 694 classes
Features: Gap detection + Large array 'A' handling + Complete patterns
Signatures: b=1byte, w=2bytes, d=4bytes, q=8bytes, A=large array/gap (>32 bytes)
Sorted by: Pattern length (longest first)

cls_0x5a5320_TCharacter   |  2576b | 188f | 220p | AddddddddddddddddddddddddddddddddddddddddddddddddddddddAddddddddddddddddAbddddddddddddddddddddddddddddddqwbbAbAddddddddd...
cls_0x5b0074              |  4524b |  98f | 160p | ddddddAbqqdwbddqddqddddqqqdqddAdqdddddddddddddddddddddqddddddqddddddddqqqddddqqddqqqddqqqqdddAdqdddAdqqqdddAddddddAddddd...
cls_0x5b8e94_TObjectInstance_Final |  1352b | 115f | 147p | dwwdwwdddddddddbbbbdddddddddwwwwddddddwwddbbwddddddddddddqqqdddddddqdddddddqddddddddddbwbddqdbAddddddddddddddAdqdAdAdAdd...
cls_0x5a7b98_TCharacter   |  1636b |  86f | 101p | AdddddddddddddddddddddddSdddddddddddddddddAdddddddddddddddddddddqddddddddddqqqddAwwddwwdqddAdddddAbAd
cls_0x5a3544              |   396b |  79f |  91p | ddddddddddddddddddddddddddddddqqqddddddddddddddddqqqqdddddddddddddddddddddddddddddddddddqdd
cls_0x5a7e38              |  3964b |  59f |  87p | AddSqqdddddddddddddqddAdddddddddddAddAdddAddAdqqqdqqdddddddddddddddddAdAdddAdAdddAdddAd
cls_0x5b4290              |  1224b |  47f |  84p | dddddddqqqqbqqqwbdAdqddAdddqdqddAdddddAdqqqddddddqqdddAdqddAdqddqdddddddddAddddddddd
cls_0x5b98b8_likely_MultiplayerSystem |   652b |  62f |  84p | dddddddddAddddqbwbdddddddddqqqddddddqqddAbdddqqqwbbdddddddddddddddddddddddqqqddddAdd
cls_0x5a4494              |   468b |  66f |  82p | ddddddddddddddddddddddddddddddddddqqqddddddddddddbAddbqqqdwbdddddddddddwwdddqqdddd
cls_0x5756d0_likely_TDirectX_or_TNetwork |   628b |  52f |  75p | ddddqddddddddddAbAdddbbbbddqqqwbbddddddddddddqdqqqdddddddddbwbdddAdAdAdAdAd
cls_0x5a9404              | 37168b |  55f |  75p | dddddddqqqqbAdqddAdqqdqqdddddddddddddddddddddqdddddddddddddddAddddddddddddd
cls_0x5b1d28              | 37168b |  55f |  75p | dddddddqqqqbAdqddAdqqdqqdddddddddddddddddddddqdddddddddddddddAddddddddddddd
cls_0x5b4a7c              |  1224b |  39f |  70p | ddddddAbqqdwbdqddAdqddAdqddAdqqqddddddqqdddAdAdqddqdddddddddAddddddddd
cls_0x5a50e8_TScreen      |   276b |  51f |  67p | dddwwdddddddddbbbbdddddddddwwddqqqddwwqqddddddddddddddddddqqddqdddd
cls_0x5a8f20              |  7412b |  43f |  66p | ddddddAbAdqddAdqqdqddddddddqdddddddqdddAdAdddddqqddddddddddddAdddd
cls_0x5b93c4_TPlayer      |   440b |  49f |  65p | dddddddddAddddqdddddddqdqqqdddddddddqddAdddqqqwbbdddddddddddddddd
cls_0x5a8aa4              | 12360b |  49f |  64p | ddddddAbAdqddAdqdddddddddddddddddddddddddddddqddddddddddddAddddd
cls_0x5b401c              |  1288b |  35f |  62p | ddddddddddqqdbqqqwbdAdqddAdddqdqddddddAdddAdAdddAddAdAddAdAddd
cls_0x48b690              |   484b |  50f |  60p | dddqdddqdddqdddqddddddddddddddddddddddddqqqqddddddddddAddAdd
cls_0x5b0a28              |  1400b |  28f |  59p | ddddddAdAdqqqqddddddAdqqqdddAdAdAbqqwbdqqbqqwbdAdAdAdAdAdAd
cls_0x5a9f2c              |   452b |  44f |  59p | ddddddAbdwbdAdqddAdqdddddddddqddddddddddddddddddAdddddddddd
cls_0x5a5e1c              |   732b |  39f |  58p | dddddddddAddddAddddAbdqwbbwddqqdqddqqqddAdAbAddddddddddddd
cls_0x5b4814              |   460b |  32f |  57p | dddddddqqqqbqqqwbdAdqddAdddqdqdddddddAdqdAdddddqdddqqdddd
cls_0x5753f0              |   644b |  38f |  56p | dddddddddddAdddbbwddqqqddddddbwbdqdddddAddbwbddAqqdAqqdA
cls_0x5a9194              | 13504b |  38f |  55p | ddddddAbAdqddAdqqdqqdddddddddddddddddqdddddddddddddddAd
cls_0x5a4d6c              |   652b |  47f |  52p | dddddddddAddddAddddddddddddddddddddddddddddddddbAdqd
cls_0x5a3e1c              |   416b |  48f |  51p | AdddddddddddddddddddddddddqqdddddddddddddddddAddddd
cls_0x5a89b4              |   692b |  36f |  51p | ddddddAbAdqddAdqqdqddddAddAdddAdddddddddddddddddddd
cls_0x5a3cd8              |   360b |  45f |  50p | Addddddddqqddddddddddddddddddddddddddqqqdddddddddd
cls_0x5b4534              |   636b |  30f |  49p | ddddddAbAdqqqdqddAdqdqddddddAddddAddAddAddAdddddd
cls_0x5b1ab8              |   952b |  27f |  49p | ddddddAbAdqddAdqddddAdAdddAdddAdddAdqddqdbwbdqddd
cls_0x5a5658              |   324b |  42f |  48p | dddddddddAdddqddddddddddddddddddddAddddddqdddddd
cls_0x5aa400              |   408b |  25f |  47p | dddddddqqqqbAdqddAdqqdqqddddqdqqqqdddqqddAddddd
cls_0x5a3d44              |   336b |  45f |  47p | Adddddddddddddddddddddqqddddddddddddddddddddddd
cls_0x5b9fac              |  2492b |  29f |  47p | ddddddAbAdqddAdqdddddddddddddAdAdAdAdAdAdAdAdAd
cls_0x5a3db0              |   328b |  42f |  45p | Adddddddddddddddddqqddddddddddddddddddddddddd
cls_0x5acd18              |  1368b |  31f |  45p | ddddddAbAdqddAdqqdqddqddddddAddddddAddddddddd
cls_0x5a9d04              |  1256b |  28f |  45p | ddddddAbAdqddAdqqdqddddAddddAdAdAdAddddqddddd
cls_0x5a486c_T3DImageryRes |   196b |  29f |  44p | dddddqbdwbdddddqddddqddddqddddqdddqqdddddddd
cls_0x5abe4c              |   392b |  18f |  44p | ddddddAbAdqddAdqqdqddqqqqdqddqddqqqdddddqqdd
cls_0x41b240              |   608b |  30f |  43p | bAdqdAddbbbbdddddddddddqqqdqqddAddAdddddddd
cls_0x5a4358_TTextBar     |   204b |  36f |  42p | dddddddddAddddqddddddddddddddddddddddddddd
cls_0x431750              |   144b |  39f |  42p | ddddddddddddddddddddddbbbbbbbbdddddddddddd
cls_0x5a3c68              |   328b |  31f |  41p | Adddddddddqqddddddddddqddqddqddqddddddddd
cls_0x41c7d0              |  1760b |  31f |  41p | ddddqddddddddddAddAdddddAbdAbdAbdAbdAbdAb
cls_0x45f7c0_TObjectClass |   204b |  22f |  40p | Sdddddqdwbbdqqqdbqqqdwbdddqqqddddddddddd
cls_0x5a7e98              |   956b |  36f |  40p | ddAdddddddAdAddddddddddddddddddddddddddd
cls_0x42bd90              |   172b |  30f |  39p | ddddddddddddddddddddqddqddqddqddddddddd
cls_0x5b79ac              |   348b |  22f |  39p | dddddddqqqqbAdqddAddddddqdddqddddAddddd
cls_0x5a5c60              |   496b |  22f |  39p | dddddddddqqqdddddddqdAddqqqddqqqddddddd
cls_0x4922c0              |   232b |  30f |  38p | dddddddddqqdqqdddAddddbbbbddwwdddqdddd
cls_0x5acaa8              |  1032b |  24f |  38p | ddddddAbAdqddAdqdddqdddAdAdAdddddAdddd
cls_0x5348f0              |   324b |  21f |  38p | dqqdddddqddddddqddddqqqqddAdqqqddqqqdd
cls_0x5b9c54              |   332b |  18f |  38p | qdqddqqqwbbdqqqwbbddddddwwddqqqqddddAd
cls_0x5a68d8_TSurface     |   144b |  34f |  38p | dddddddddddddddddddddddddddddddddbwbdd
cls_0x5aa46c              |  1244b |  24f |  37p | ddddddAbAdqddAdqddddAdddAdAdAdddddddd
cls_0x492170              |   232b |  29f |  37p | ddddddddbAdddddAddddbbbbddwwddddddddd
cls_0x5aa820              |  1984b |  24f |  36p | ddddddAbAdqddAddddddAdddAdddAdddAdAd
cls_0x5b4308              |   144b |  35f |  36p | dddddddddddddddddddddddddddddddddddd
